Name,Index,RGB
PaleTurquoise1,159,#afffff
PaleTurquoise4,66,#5f8787
PaleVioletRed1,211,#ff87af
Pink1,218,#ffafd7
Pink3,175,#d787af
Plum1,219,#ffafff
Plum2,183,#d7afff
Plum3,176,#d787d7
Plum4,96,#875f87
Purple3,56,#5f00d7
Purple4,54,#5f0087
Purple4A,55,#5f00af
Red1,196,#ff0000
Red3,124,#af0000
Red3,160,#d70000
RoyalBlue1,63,#5f5fff
Salmon1,209,#ff875f
SeaGreen1,84,#5fff87
SeaGreen1,85,#5fffaf
SeaGreen2,83,#5fff5f
SeaGreen3,78,#5fd787
SkyBlue1,117,#87d7ff
SkyBlue2,111,#87afff
SkyBlue3,74,#5fafd7
SlateBlue1,99,#875fff
SlateBlue3,61,#5f5faf
SlateBlue3A,62,#5f5fd7
SpringGreen1,48,#00ff87
SpringGreen2,42,#00d787
SpringGreen2A,47,#00ff5f
SpringGreen3,35,#00af5f
SpringGreen3A,41,#00d75f
SpringGreen4,29,#00875f
SteelBlue1,75,#5fafff
SteelBlue1A,81,#5fd7ff
SteelBlue3,68,#5f87d7
Thistle1,225,#ffd7ff
Thistle3,182,#d7afd7
Turquoise2,45,#00d7ff
Turquoise4,30,#008787
Wheat1,229,#ffffaf
Wheat4,101,#87875f
Yellow1,226,#ffff00
Yellow2,190,#d7ff00
Yellow3,148,#afd700
Yellow3A,184,#d7d700
Yellow4,100,#878700
Yellow4A,106,#87af00
